Company Name,Instrument Category,Rating,Outlook,Instrument Amount,Date,URL
Kunjir Bioenergy India LLP,Long Term Bank Facilities - UGECL 2.0,IVR BBB- (Reaffirmed),Stable,Rs. 10.02 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
Kunjir Bioenergy India LLP,Long Term Bank Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 49.00 Cr. (increased from Rs. 24.00 Cr.),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
Kunjir Bioenergy India LLP,Proposed Long Term Bank Facilities,IVR BBB- (Assigned),Stable,Rs. 4.79 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Kunjir-Bioenergy-4nov24.pdf
Mahakaushal Sugar and Power Industries Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Reaffirmed),Stable,Rs. 25.09 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Mahakaushal-Sugar-4nov24.pdf
Mahakaushal Sugar and Power Industries Limited,Long Term Bank Facilities - Term Loan,IVR BBB- (Assigned),Stable,Rs. 164.00 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Mahakaushal-Sugar-4nov24.pdf
Mahakaushal Sugar and Power Industries Limited,Long Term Bank Facilities - Cash Credit,IVR BBB- (Reaffirmed),Stable,Rs. 34.50 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Mahakaushal-Sugar-4nov24.pdf
Mahakaushal Sugar and Power Industries Limited,Long Term Bank Facilities - WHR,IVR BBB- (Assigned),Stable,Rs. 30.00 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Mahakaushal-Sugar-4nov24.pdf
Melzer Chemicals Private Limited,Long Term Facilities,IVR BB (INC)(Downgraded),Negative,Rs. 42.04 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Melzer-Chemicals-4nov24.pdf
Melzer Chemicals Private Limited,Short Term Facilities,IVR A4 (INC)(Downgraded),Nil,Rs. 15.00 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Melzer-Chemicals-4nov24.pdf
Sagar Asia Private Limited,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),Negative,Rs. 118.00 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-SagarAsia-4nov24.pdf
Sagar Asia Private Limited,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),Nil,Rs. 7.00 Cr.,"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-SagarAsia-4nov24.pdf
Sarthi Prospace LLP,Long Term Facilities,Withdrawn,Nil,0.00 (Previously Rs. 85.00 Cr.),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Sarthi-Prospace-4nov24.pdf
Sarthi Prospace LLP,Short Term Facilities,Withdrawn,Nil,0.00 (Previously Rs. 1.70 Cr.),"Nov 04, 2024",https://www.infomerics.com/admin/uploads/pr-Sarthi-Prospace-4nov24.pdf
Hill Brow Metallics and Construction Private Limited,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),Negative,Rs. 12.50 Cr.,"Nov 01, 2024",https://www.infomerics.com/admin/uploads/pr-HillBrowMetallics-1nov24.pdf
Hill Brow Metallics and Construction Private Limited,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),Nil,Rs. 42.50 Cr.,"Nov 01, 2024",https://www.infomerics.com/admin/uploads/pr-HillBrowMetallics-1nov24.pdf
Sunil Kumar Agarwal LLP,Long Term Bank Facilities,IVR BBB- (INC)(Downgraded),Negative,Rs. 53.20 Cr.,"Nov 01, 2024",https://www.infomerics.com/admin/uploads/pr-SunilKumarAgarwalLLP-1nov24.pdf
Sunil Kumar Agarwal LLP,Short Term Bank Facilities,IVR A3 (INC)(Downgraded),Nil,Rs. 111.80 Cr.,"Nov 01, 2024",https://www.infomerics.com/admin/uploads/pr-SunilKumarAgarwalLLP-1nov24.pdf
